index,start,end,track,display_name
59,216.57075625419336,218.59094987060288,2018_11_13_am_Sec_3_P1_Anandabhairavi_slates,Performer1_Sess1_Anandabhairavi
60,123.58184414837532,126.05208089715325,2018_11_13_am_Sec_3_P1_Anandabhairavi_slates,Performer1_Sess1_Anandabhairavi
62,110.13055496980732,112.2807610466788,2018_11_13_am_Sec_3_P1_Anandabhairavi_slates,Performer1_Sess1_Anandabhairavi
72,51.77496213936546,56.94545768235406,2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani
73,26.45253522476756,29.86286207227068,2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani
74,157.23506949103802,160.46537908559375,2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani
75,36.07345729895523,39.35377168599635,2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani
77,233.4423732387616,236.27264449343423,2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani
78,61.22586791910283,63.69610466788075,2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani
79,259.4048614971724,261.8750982459503,2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani
80,120.92158918815296,123.03179143103613,2018_11_13_am_Sec_3_P3_Kalyani_slates,Performer1_Sess1_Kalyani
91,214.68057509824592,217.96088948528703,2018_11_13_am_Sec_3_P5_Todi_slates,Performer1_Sess1_Todi
92,224.22148950445697,227.5018038914981,2018_11_13_am_Sec_3_P5_Todi_slates,Performer1_Sess1_Todi
93,30.40291383111281,33.41320233873286,2018_11_13_am_Sec_3_P5_Todi_slates,Performer1_Sess1_Todi
94,65.49627719735453,67.82650052717338,2018_11_13_am_Sec_3_P5_Todi_slates,Performer1_Sess1_Todi
95,17.401667784913254,19.69188728074379,2018_11_13_am_Sec_3_P5_Todi_slates,Performer1_Sess1_Todi
96,270.01587846257064,272.2560931659158,2018_11_13_am_Sec_3_P5_Todi_slates,Performer1_Sess1_Todi
98,42.73409565800824,44.79429310840601,2018_11_13_am_Sec_3_P5_Todi_slates,Performer1_Sess1_Todi
108,51.19490654653502,55.86535416466979,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
109,91.7287913351864,96.0892092399118,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
110,99.28951595897632,103.05987731237418,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
111,86.82832167161888,90.50867439854306,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
112,202.3593942298476,205.99974312278343,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
113,230.43208473114152,233.71239911818265,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
114,213.34044665963765,216.390739001246,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
115,239.38294258602508,242.3932310936451,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
116,85.9682392408703,88.74850570305759,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
117,65.27625611041886,67.96651394613245,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
118,79.84765264065943,82.53791047637303,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
119,63.69610466788075,66.34635866960605,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
121,153.2746899261957,155.56490942202623,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
122,105.14007667976612,107.7903306814914,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
123,112.20075337870216,114.53097670852102,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
124,66.6663893415125,68.90660404485764,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
126,99.19950733250262,101.34971340937408,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
127,236.51266749736408,238.71287836672093,2018_11_13_am_Sec_3_P8_Bilahari_B_slates,Performer1_Sess1_Bilahari
134,75.16720406402759,79.11758267037284,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
135,69.45665676219686,73.3670315345538,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
136,86.36827758075336,90.09863510016292,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
140,94.10901945749065,96.97929454615162,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
142,108.41039010831015,111.01063931755006,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
143,37.20356560912489,39.76381098437649,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
144,60.6858161602607,63.55609124892168,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
145,92.978911147321,95.4891517300872,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
146,40.70390108310169,43.12413303939422,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
147,81.91785104955429,84.11806191891114,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
148,113.49087702482504,115.6910878941819,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
149,22.892193999808296,25.04240007667976,2018_11_13_am_Sec_4_P1_Atana_slatesB,Performer1_Sess1_Atana
161,164.65578069586886,170.2263145787405,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
162,136.44307677561582,141.6535761525927,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
163,175.72684175213263,179.85723761142526,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
164,166.90599635771108,170.2263145787405,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
165,194.16860922074184,197.48892744177127,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
166,180.6273114157001,183.85762101025588,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
167,96.769274417713,99.68955429885936,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
168,158.67520751461706,161.45547397680434,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
169,201.9493549314674,204.45959551423363,2018_11_13_pm_Sec_1_P1_Varaali_slates,Performer1_Sess2_Varali
