"","X_pitch","Y_pitch","X_acc","Y_acc","X_vel","Y_vel","index","performer","performance"
"1",-0.640309596168707,-0.615562836936544,-0.206925688993664,-0.00302149331709397,-0.313701824717263,0.136809995726037,"0","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"2",-0.851141371721177,-0.24414328243109,-0.110563852645189,-0.00724248122861823,-0.255282839100513,0.0748983637269242,"1","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"3",-0.621580310649255,-0.117009017423365,-0.00317714122465539,0.00541725272776664,-0.123797613290363,0.000353441855076009,"2","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"4",-0.495384556234823,-0.533329724081138,-0.00131059171971274,-0.00371622596047225,-0.0369811647976554,-0.0568812892992459,"3","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"5",0.998097780916032,0.698400557807792,0.0363801514049393,-0.0571140980785499,0.00686482450886814,-0.0696705921816254,"4","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"6",-0.547307980746204,-0.304340701202506,-0.0263831802014713,-0.000545241653898281,-0.184116841653804,-0.0487308498569102,"5","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"7",0.791721121660244,0.377624690046773,0.0323433676541574,-0.00391479982230706,-0.00885012267243473,-0.0668849124741407,"6","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"8",0.409294553936981,-0.393034090388654,-0.0507901480685793,-0.00276255249325668,-0.168040873116581,-0.076383599478479,"8","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"9",-0.89524343103296,0.222066478178482,0.0381081189912506,0.000107626754295205,-0.101613791256032,-0.0331845079775166,"9","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"10",0.416849235644699,-0.610443901890364,-0.000363287062176133,-0.0313650146000483,0.0374930578792257,0.0207580029684786,"10","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"11",-1.02584817524649,1.13833553367981,0.105167607952341,-0.0553847839379612,0.0732167475915526,0.0644160208841986,"11","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"12",1.08619573204593,0.60776739078232,0.0730064861208784,0.00771012259001522,0.117451579945797,0.149610699285259,"12","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
"13",-0.586998806159497,-0.280220865240255,0.00999865997459832,-0.0268773775360689,0.00178264676855668,-0.0105561799639136,"13","performer 1","2018_11_13_am_Sec_1_P2_Varaali_slates"
